   rx:   790.02 Mbit/s 12061 p/s          tx:       96 kbit/s   170 p/s
   rx:   790.80 Mbit/s 12126 p/s          tx:       92 kbit/s   183 p/s
   rx:   790.93 Mbit/s 12322 p/s          tx:      124 kbit/s   249 p/s
   rx:   790.84 Mbit/s 12243 p/s          tx:      100 kbit/s   199 p/s
   rx:     1.05 Gbit/s 16098 p/s          tx:      128 kbit/s   260 p/s
   rx:   790.84 Mbit/s 12071 p/s          tx:      104 kbit/s   207 p/s
   rx:     1.05 Gbit/s 16090 p/s          tx:      132 kbit/s   264 p/s
   rx:   790.84 Mbit/s 12069 p/s          tx:      100 kbit/s   201 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.71 Mbit/s 12065 p/s          tx:      100 kbit/s   205 p/s
   rx:   790.78 Mbit/s 12070 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.84 Mbit/s 12069 p/s          tx:      100 kbit/s   198 p/s
   rx:     1.05 Gbit/s 16091 p/s          tx:      132 kbit/s   266 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   200 p/s
   rx:     1.05 Gbit/s 16088 p/s          tx:      116 kbit/s   234 p/s
   rx:   790.84 Mbit/s 12073 p/s          tx:      116 kbit/s   233 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   200 p/s
   rx:   910.45 Mbit/s 13891 p/s          tx:      100 kbit/s   200 p/s
   rx:   934.70 Mbit/s 14267 p/s          tx:      132 kbit/s   266 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   200 p/s
   rx:     1.05 Gbit/s 16086 p/s          tx:      132 kbit/s   265 p/s
   rx:   790.84 Mbit/s 12069 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.84 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:     1.05 Gbit/s 16085 p/s          tx:      104 kbit/s   209 p/s
